"spend_id";"spend_date";"channel";"spend_amount";"impressions";"clicks";"conversions"
1;"2023-01-01";"email";55.31;0;0;74
2;"2023-01-01";"paid_search";204.28;69489;2574;171
3;"2023-01-01";"social_media";161.19;86923;1128;74
4;"2023-01-01";"display_ads";78.07;31019;1497;189
5;"2023-01-01";"affiliate";86.4;50689;3233;100
6;"2023-01-02";"email";51.42;0;0;48
7;"2023-01-02";"paid_search";246.24;51470;332;157
8;"2023-01-02";"social_media";289.22;136040;5535;137
9;"2023-02-01";"display_ads";184.02;64279;4685;144
10;"2023-01-02";"affiliate";92.65;40987;1118;76
11;"2023-03-01";"email";112.18;0;0;255
12;"2023-01-03";"paid_search";301.31;168089;8638;212
13;"2023-01-03";"social_media";131.12;18117;2750;189
14;"2023-01-03";"display_ads";174.6;108996;7042;164
15;"2023-01-03";"affiliate";81.94;52696;3545;87
16;"2023-01-04";"email";63.32;0;0;67
17;"2023-01-04";"paid_search";195.3;72485;3018;139
18;"2023-01-04";"social_media";278.25;134021;2969;267
19;"2023-04-01";"display_ads";240.92;90464;3931;174
20;"2023-04-01";"affiliate";60.74;83460;3322;172
21;"2023-01-05";"email";59.78;0;0;179
22;"2023-01-05";"paid_search";216.61;58975;1284;149
23;"2023-01-05";"social_media";143.88;18945;4347;82
24;"2023-01-05";"display_ads";115.52;72101;720;13
25;"2023-01-05";"affiliate";95.59;45463;4155;91
26;"2023-01-06";"email";88.15;0;0;251
27;"2023-01-06";"paid_search";439.6;31809;5904;209
28;"2023-01-06";"social_media";118.58;68779;3778;100
29;"2023-01-06";"display_ads";83.66;76997;4662;150
30;"2023-01-06";"affiliate";53.21;91586;2486;101
31;"2023-01-07";"email";88.21;0;0;202
32;"2023-01-07";"paid_search";239.55;11962;2711;161
33;"2023-01-07";"social_media";149.84;36194;230;96
34;"2023-01-07";"display_ads";99.48;27738;4503;42
35;"2023-01-07";"affiliate";64.31;33531;3297;63
36;"2023-08-01";"email";95.85;0;0;253
37;"2023-01-08";"paid_search";178.37;89968;4333;110
38;"2023-01-08";"social_media";173.91;65079;4834;41
39;"2023-01-08";"display_ads";123.74;77215;3237;105
40;"2023-01-08";"affiliate";87.4;57987;2239;197
41;"2023-01-09";"email";62.61;0;0;126
42;"2023-01-09";"paid_search";182.24;58460;4695;32
43;"2023-09-01";"social_media";304.27;81707;4991;161
44;"2023-09-01";"display_ads";238.38;138852;2855;167
45;"2023-01-09";"affiliate";137.46;72352;5164;196
46;"2023-10-01";"email";142.81;0;0;96
47;"2023-01-10";"paid_search";391.53;125550;4147;206
48;"2023-01-10";"social_media";108.19;54856;2053;191
49;"2023-01-10";"display_ads";0.0;93623;3851;65
50;"2023-01-10";"affiliate";90.9;47081;3343;85
51;"2023-01-11";"email";123.0;0;0;163
52;"2023-01-11";"paid_search";419.33;93400;6027;79
53;"2023-01-11";"social_media";177.8;78980;3722;154
54;"2023-01-11";"display_ads";111.32;30267;1925;8
55;"2023-01-11";"affiliate";78.42;53236;268;102
56;"2023-12-01";"email";107.53;0;0;204
57;"2023-01-12";"paid_search";223.78;49286;2771;173
58;"2023-01-12";"social_media";315.16;65238;5917;331
59;"2023-01-12";"display_ads";198.53;75733;4834;219
60;"2023-01-12";"affiliate";76.16;73802;246;174
61;"2023-01-13";"email";58.76;0;0;68
62;"2023-01-13";"paid_search";166.43;49689;2068;38
63;"2023-01-13";"social_media";113.21;37141;3653;140
64;"2023-01-13";"display_ads";97.28;79749;522;53
65;"2023-01-13";"affiliate";78.26;41746;2879;75
66;"2023-01-14";"email";37.9;0;0;106
67;"2023-01-14";"paid_search";214.65;39847;1676;13
68;"2023-01-14";"social_media";194.29;58900;3843;6
69;"2023-01-14";"display_ads";128.34;88781;2281;25
70;"2023-01-14";"affiliate";69.07;59995;4775;66
71;"2023-01-15";"email";41.36;0;0;135
72;"2023-01-15";"paid_search";157.19;87053;1356;86
73;"2023-01-15";"social_media";123.82;38853;3823;99
74;"2023-01-15";"display_ads";71.59;43917;1053;124
75;"2023-01-15";"affiliate";96.93;34541;3832;104
76;"2023-01-16";"email";55.43;0;0;46
77;"2023-01-16";"paid_search";204.06;81077;4396;112
78;"2023-01-16";"social_media";191.63;55617;208;40
79;"2023-01-16";"display_ads";95.67;39148;796;37
80;"2023-01-16";"affiliate";92.62;23824;4150;38
81;"2023-01-17";"email";46.41;0;0;173
82;"2023-01-17";"paid_search";211.1;65219;2496;144
83;"2023-01-17";"social_media";149.72;97754;4119;22
84;"2023-01-17";"display_ads";85.33;24566;516;59
85;"2023-01-17";"affiliate";69.91;40130;4040;14
86;"2023-01-18";"email";50.15;0;0;12
87;"2023-01-18";"paid_search";245.11;23582;4685;63
88;"2023-01-18";"social_media";156.5;84919;957;9
89;"2023-01-18";"display_ads";97.77;87993;4587;162
90;"2023-01-18";"affiliate";76.02;65788;1702;10
91;"2023-01-19";"email";0.0;0;0;151
92;"2023-01-19";"paid_search";165.68;42209;4834;149
93;"2023-01-19";"social_media";141.84;81034;2206;19
94;"2023-01-19";"display_ads";103.3;84336;3453;74
95;"2023-01-19";"affiliate";80.19;66743;3202;162
96;"2023-01-20";"email";39.29;0;0;89
97;"2023-01-20";"paid_search";215.67;96199;647;90
98;"2023-01-20";"social_media";138.46;90249;4149;53
99;"2023-01-20";"display_ads";110.68;60813;2661;177
100;"2023-01-20";"affiliate";78.78;95257;2238;174
101;"2023-01-21";"email";48.83;0;0;165
102;"2023-01-21";"paid_search";205.49;88089;2060;119
103;"2023-01-21";"social_media";155.04;63085;486;112
104;"2023-01-21";"display_ads";128.63;56175;3081;153
105;"2023-01-21";"affiliate";85.81;71501;3319;91
