"transaction_id";"customer_id";"transaction_date";"revenue";"quantity";"product_category";"discount_applied";"payment_method";"order_status";"source_channel";"campaign_id"
10005;2212;"2023-12-04";257.09;4;"Clothing";0.17;"Credit card";"Refunded";"Organic";0
10006;1212;"2023-12-10";106.35;1;"";0.01;"Credit card";"Cancelled";"Direct";1037
10008;500;"2024-08-09";488.81;1;"Home & garden";0.0;"";"Cancelled";"Email";0
10010;1216;"2024-03-01";54.59;9;"";0.13;"Credit card";"Cancelled";"Email";1035
10012;2387;"2023-03-10";100.7;1;"Electronics";0.29;"Credit card";"Cancelled";"Social";1018
10013;2928;"2024-04-28";188.1;3;"Home & garden";0.16;"Paypal";"Completed";"Email";1008
10016;25;"2023-04-03";470.15;10;"Electronics";0.0;"Credit card";"Completed";"";1008
10018;18;"2024-01-31";270.09;6;"Electronics";0.11;"Credit card";"Completed";"Organic";1035
10021;936;"2023-11-02";0.0;10;"Clothing";0.25;"Credit card";"Cancelled";"";1043
10022;2679;"2024-11-07";41.6;8;"";0.0;"Paypal";"Completed";"Email";0
10023;4722;"2023-08-14";208.28;10;"Clothing";0.12;"";"Completed";"Email";0
10024;557;"2023-01-16";104.71;6;"Clothing";0.08;"";"Refunded";"Email";1031
10025;2562;"2023-05-11";77.79;9;"Clothing";0.03;"Paypal";"Cancelled";"Email";0
10026;804;"2024-08-01";383.77;10;"";0.0;"Paypal";"Refunded";"Paid_search";0
10031;1576;"2023-11-06";35.59;10;"Clothing";0.0;"Credit card";"Completed";"Email";1018
10033;238;"2023-05-21";358.16;5;"";0.0;"";"Completed";"Direct";0
10036;944;"2023-11-29";285.91;0;"Electronics";0.0;"Paypal";"Refunded";"Email";0
10039;2714;"2023-05-02";328.4;8;"Home & garden";0.1;"Paypal";"Completed";"";0
10040;2453;"2024-07-10";301.84;2;"Electronics";0.0;"Debit";"Completed";"Paid_search";1017
10041;201;"2024-10-02";280.7;7;"";0.0;"Debit";"Cancelled";"Organic";1000
10043;4237;"2024-03-08";148.79;1;"Clothing";0.11;"";"Completed";"Direct";1030
