date,channel,spend_amount,impressions,clicks,conversions,currency
2023-01-01,email,55.31,,,74,usd
2023-01-01,paid_search,204.28,69489.0,2574.0,171,usd
01/01/2023,social_media,161.19,86923.0,1128.0,74,$
01-01-2023,display_ads,78.07,31019.0,1497.0,189,usd
2023/01/01,affiliate,86.4,50689.0,3233.0,100,USD
2023/01/02,email,51.42,,,48,$
01-02-2023,paid_search,246.24,51470.0,332.0,157,$
2023-01-02,social_media,144.98,95663.0,2846.0,95,$
02-01-2023,display_ads,89.91,48691.0,4197.0,37,$
01-02-2023,affiliate,92.65,40987.0,1118.0,76,USD
03-01-2023,email,59.67,,,124,USD
2023/01/03,paid_search,157.37,71537.0,4353.0,134,
2023-01-03,social_media,131.12,18117.0,2750.0,189,
01/03/2023,display_ads,98.83,25294.0,2289.0,44,USD
01/03/2023,affiliate,81.94,52696.0,3545.0,87,usd
01-04-2023,email,63.32,,,67,usd
01/04/2023,paid_search,195.3,72485.0,3018.0,139,$
2023-01-04,social_media,129.26,97738.0,1625.0,194,USD
04-01-2023,display_ads,117.53,47684.0,1360.0,136,usd
04-01-2023,affiliate,60.74,83460.0,3322.0,172,USD
2023-01-05,EMAIL,59.78,,,179,$
2023/01/05,paid_search,216.61,58975.0,1284.0,149,usd
2023/01/05,social_media,143.88,18945.0,4347.0,82,
2023/01/05,display_ads,115.52,72101.0,720.0,13,$
2023-01-05,affiliate,95.59,45463.0,4155.0,91,usd
2023-01-06,email,41.75,,,74,
01-06-2023,paid_search,246.38,12771.0,2551.0,198,usd
01-06-2023,social_media,118.58,68779.0,3778.0,100,$
2023-01-06,display_ads,83.66,76997.0,4662.0,150,$
2023-01-06,affiliate,53.21,91586.0,2486.0,101,
01/07/2023,email,36.69,,,29,USD
01/07/2023,paid_search,239.55,11962.0,2711.0,161,USD
01/07/2023,social_media,149.84,36194.0,230.0,96,usd
01-07-2023,display_ads,99.48,27738.0,4503.0,42,usd
01/07/2023,affiliate,64.31,33531.0,3297.0,63,usd
08-01-2023,email,44.53,,,149,$
2023/01/08,paid_search,178.37,89968.0,4333.0,110,usd
2023/01/08,social_media,173.91,65079.0,4834.0,41,usd
01/08/2023,display_ads,123.74,77215.0,3237.0,105,$
01-08-2023,affiliate,87.4,57987.0,2239.0,197,USD
2023-01-09,email,62.61,,,126,
2023-01-09,paid_search,182.24,58460.0,4695.0,32,USD
09-01-2023,social_media,157.26,61964.0,3387.0,119,USD
09-01-2023,display_ads,129.64,81196.0,845.0,154,$
2023/01/09,affiliate,72.59,54411.0,357.0,191,
10-01-2023,email,58.68,,,23,usd
01-10-2023,paid_search,174.51,43612.0,2236.0,33,usd
2023/01/10,social_media,108.19,54856.0,2053.0,191,
01/10/2023,display_ads,,93623.0,3851.0,65,$
01-10-2023,affiliate,90.9,47081.0,3343.0,85,usd
01-11-2023,email,61.25,,,104,
2023-01-11,paid_search,191.67,54279.0,2799.0,62,USD
2023/01/11,social_media,177.8,78980.0,3722.0,154,usd
2023-01-11,display_ads,111.32,30267.0,1925.0,8,
01/11/2023,affiliate,78.42,53236.0,268.0,102,
12-01-2023,email,51.5,,,108,USD
2023/01/12,paid_search,223.78,49286.0,2771.0,173,$
2023/01/12,social_media,118.72,50103.0,4351.0,193,USD
01-12-2023,display_ads,91.26,61801.0,331.0,128,USD
01-12-2023,affiliate,76.16,73802.0,246.0,174,$
01/13/2023,email,58.76,,,68,
2023-01-13,paid_search,166.43,49689.0,2068.0,38,$
13-01-2023,social_media,113.21,37141.0,3653.0,140,usd
01-13-2023,display_ads,97.28,79749.0,522.0,53,USD
01-13-2023,affiliate,78.26,41746.0,2879.0,75,$
2023/01/14,email,37.9,,,106,$
01/14/2023,paid_search,214.65,39847.0,1676.0,13,USD
2023/01/14,social_media,194.29,58900.0,3843.0,6,USD
01/14/2023,display_ads,128.34,88781.0,2281.0,25,$
01-14-2023,affiliate,69.07,59995.0,4775.0,66,USD
15-01-2023,email,41.36,,,135,$
2023-01-15,paid_search,157.19,87053.0,1356.0,86,USD
15-01-2023,social_media,123.82,38853.0,3823.0,99,$
2023/01/15,display_ads,71.59,43917.0,1053.0,124,USD
2023-01-15,affiliate,96.93,34541.0,3832.0,104,
2023-01-16,email,55.43,,,46,usd
01/16/2023,paid_search,204.06,81077.0,4396.0,112,USD
01/16/2023,social_media,191.63,55617.0,208.0,40,usd
16-01-2023,display_ads,95.67,39148.0,796.0,37,usd
16-01-2023,AFFILIATE,92.62,23824.0,4150.0,38,
01-17-2023,email,46.41,,,173,USD
01/17/2023,paid_search,211.1,65219.0,2496.0,144,usd
01-17-2023,social_media,149.72,97754.0,4119.0,22,
01/17/2023,DISPLAY_ADS,85.33,24566.0,516.0,59,$
01-17-2023,affiliate,69.91,40130.0,4040.0,14,usd
01/18/2023,email,50.15,,,12,USD
01/18/2023,paid_search,245.11,23582.0,4685.0,63,$
18-01-2023,social_media,156.5,84919.0,957.0,9,USD
2023/01/18,display_ads,97.77,87993.0,4587.0,162,USD
2023/01/18,affiliate,76.02,65788.0,1702.0,10,usd
2023-01-19,email,,,,151,
19-01-2023,paid_search,165.68,42209.0,4834.0,149,usd
19-01-2023,social_media,141.84,81034.0,2206.0,19,usd
01-19-2023,display_ads,103.3,84336.0,3453.0,74,USD
2023-01-19,affiliate,80.19,66743.0,3202.0,162,usd
2023/01/20,email,39.29,,,89,$
2023/01/20,paid_search,215.67,96199.0,647.0,90,USD
20-01-2023,social_media,138.46,90249.0,4149.0,53,$
2023/01/20,display_ads,110.68,60813.0,2661.0,177,$
01/20/2023,affiliate,78.78,95257.0,2238.0,174,USD
2023/01/21,email,48.83,,,165,usd
