"session_id";"customer_id";"session_date";"session_start_time";"traffic_source";"landing_page";"pages_viewed";"session_duration_seconds";"device";"browser";"converted";"conversion_value";"campaign_id";"is_bounce"
100000;0;"2024-02-27";"19:30:14";"Organic_search";"Products";9;1758;"Mobile";"Chrome";0;0.0;0;0
100001;611;"2024-05-12";"15:34:35";"Paid_search";"";3;1460;"";"Safari";0;0.0;0;0
100002;2116;"2023-03-11";"15:32:48";"Direct";"";11;1643;"Mobile";"Firefox";0;0.0;0;1
100003;0;"2024-08-22";"07:59:16";"Organic_search";"";3;1464;"Tablet";"Firefox";0;0.0;0;0
100004;1891;"2023-07-12";"14:19:25";"Direct";"";5;1719;"Mobile";"Chrome";0;0.0;0;1
100005;0;"2024-07-29";"07:59:51";"Email";"Sale";5;621;"Mobile";"Safari";0;0.0;1023;0
100006;588;"2024-11-13";"23:12:51";"Social";"Electronics";5;1427;"Mobile";"Chrome";0;0.0;0;0
100007;0;"2023-03-16";"19:27:59";"Direct";"Electronics";4;1064;"Desktop";"Safari";0;0.0;0;0
100008;0;"2024-02-25";"18:20:45";"Email";"";8;920;"Mobile";"Firefox";0;0.0;1033;1
100009;0;"2024-12-28";"20:12:53";"Organic_search";"";5;77;"Mobile";"Chrome";0;0.0;0;1
100010;0;"2024-05-22";"08:55:47";"Email";"Products";14;1376;"Tablet";"Firefox";0;0.0;1041;0
100011;0;"2024-04-22";"09:10:50";"Social";"Sale";11;1266;"Mobile";"Safari";0;0.0;0;1
100012;401;"2023-08-30";"13:00:36";"Paid_search";"Home";12;193;"";"Firefox";0;0.0;0;0
100013;4879;"2023-12-05";"03:22:15";"Paid_search";"Sale";9;307;"Desktop";"Chrome";0;0.0;0;0
100014;0;"2023-07-08";"04:39:36";"Email";"";13;0;"Desktop";"";0;0.0;0;0
100015;0;"2024-05-21";"08:58:53";"Organic_search";"Products";6;1208;"Desktop";"";0;0.0;0;0
100016;1440;"2023-10-10";"";"Email";"Home";10;1032;"Mobile";"Chrome";0;0.0;1003;0
100017;4406;"2024-09-30";"18:14:20";"Organic_search";"Home";6;649;"Mobile";"Edge";0;0.0;0;1
100018;44;"2024-03-06";"12:11:38";"Paid_search";"Sale";5;1767;"Mobile";"Safari";0;0.0;0;1
100019;0;"2024-03-09";"16:03:59";"Direct";"Home";9;970;"Desktop";"";0;0.0;0;0
100020;1158;"2024-04-12";"11:54:09";"Social";"Products";14;193;"Mobile";"";0;0.0;0;0
100021;0;"2023-01-01";"05:17:00";"Organic_search";"";8;1496;"";"";0;0.0;0;1
100022;0;"2023-11-26";"10:21:26";"Referral";"Home";13;571;"Mobile";"Firefox";0;0.0;0;1
100023;490;"2023-01-29";"19:11:51";"Social";"Sale";13;1510;"Mobile";"Chrome";0;0.0;0;1
100024;0;"2023-04-15";"18:52:16";"Referral";"";14;237;"Tablet";"Firefox";0;0.0;0;0
100025;0;"2024-06-10";"23:31:54";"Paid_search";"Sale";3;568;"Mobile";"";0;0.0;0;0
100026;0;"2024-09-07";"00:52:59";"Organic_search";"Home";9;1771;"Desktop";"Firefox";0;0.0;0;0
100027;0;"2024-02-03";"06:06:46";"Email";"Electronics";2;1614;"Desktop";"Edge";0;0.0;1046;0
100028;743;"2024-10-18";"13:09:28";"Social";"Sale";12;0;"";"Safari";0;0.0;0;1
100029;0;"2023-04-09";"05:19:12";"Email";"Products";4;1171;"Desktop";"Safari";0;0.0;1024;0
100030;0;"2024-10-28";"04:28:35";"Organic_search";"";5;1057;"Desktop";"Edge";0;0.0;0;0
100031;4911;"2023-05-30";"10:41:15";"Paid_search";"";14;1070;"Mobile";"";0;0.0;0;1
100032;0;"2024-08-22";"02:50:44";"Paid_search";"Electronics";5;1238;"Desktop";"Chrome";0;0.0;0;1
100033;0;"2024-12-24";"00:41:24";"Paid_search";"Home";4;429;"Desktop";"Safari";0;0.0;0;0
100034;0;"2023-03-29";"18:24:32";"Email";"Electronics";13;235;"";"Chrome";0;0.0;1039;0
100035;0;"2023-08-04";"10:51:48";"Organic_search";"Electronics";12;1515;"Tablet";"Chrome";0;0.0;0;1
100036;7;"2024-06-23";"01:45:23";"Paid_search";"Home";10;33;"Mobile";"";1;144.73;0;1
100037;0;"2023-04-14";"15:02:17";"Referral";"Electronics";8;546;"";"";0;0.0;0;0
100038;1208;"2023-08-30";"06:13:05";"Social";"Products";12;1032;"Tablet";"Chrome";0;0.0;0;1
100039;0;"2023-10-25";"10:14:52";"Referral";"";7;1119;"Desktop";"";0;0.0;0;0
100040;0;"2024-12-22";"15:49:52";"Social";"Products";9;1559;"Mobile";"";0;0.0;0;1
100041;0;"2024-03-04";"09:47:58";"Paid_search";"Products";3;1368;"Desktop";"Chrome";0;0.0;0;1
100042;0;"2024-12-14";"11:36:13";"Email";"Sale";12;1095;"Desktop";"Safari";0;0.0;1006;0
100043;0;"2023-10-25";"";"Social";"Products";8;0;"Desktop";"";0;0.0;0;0
100044;0;"2023-11-02";"00:30:10";"Paid_search";"Electronics";13;313;"Desktop";"Edge";0;0.0;0;1
100045;0;"2023-10-07";"05:05:51";"Paid_search";"Products";2;676;"";"Chrome";0;0.0;0;1
100046;4522;"2023-01-06";"";"Paid_search";"Products";5;357;"Mobile";"Edge";0;0.0;0;0
100047;0;"2023-12-31";"16:08:42";"Paid_search";"Products";4;1773;"Desktop";"Edge";0;0.0;0;0
100048;0;"2024-08-03";"03:43:42";"Organic_search";"";15;429;"Mobile";"";0;0.0;0;0
100049;4150;"2023-04-25";"00:31:26";"Paid_search";"Sale";15;982;"Desktop";"Edge";0;0.0;0;0
100050;0;"2023-05-12";"10:54:51";"Email";"";1;653;"Desktop";"Safari";0;0.0;1015;1
100051;0;"2024-09-20";"10:21:29";"Direct";"Sale";4;0;"Mobile";"Firefox";0;0.0;0;0
100052;0;"2023-05-26";"18:10:21";"Email";"Home";14;775;"Mobile";"Chrome";0;0.0;0;0
100053;2830;"2023-04-18";"12:17:33";"Email";"Home";10;1319;"Mobile";"Chrome";0;0.0;1026;1
100054;0;"2024-05-09";"23:04:17";"Organic_search";"Sale";6;1304;"Mobile";"Edge";0;0.0;0;0
100055;0;"2023-01-05";"15:38:38";"Social";"Electronics";12;52;"Desktop";"Chrome";0;0.0;0;1
100056;0;"2023-12-05";"15:30:55";"Organic_search";"Sale";3;174;"Mobile";"Chrome";0;0.0;0;0
100057;2926;"2024-09-23";"23:03:19";"Organic_search";"";6;176;"Mobile";"";0;0.0;0;0
100058;1037;"2024-06-17";"09:05:46";"Paid_search";"Home";7;1065;"Tablet";"Safari";0;0.0;0;0
100059;11;"2023-08-03";"19:12:25";"Organic_search";"";9;739;"Mobile";"";0;0.0;0;1
100060;3474;"2023-12-21";"15:26:59";"Referral";"Products";6;431;"Mobile";"Chrome";0;0.0;0;0
100061;0;"2023-03-29";"19:14:03";"Referral";"Electronics";5;358;"Tablet";"Chrome";0;0.0;0;0
100062;4550;"2023-06-20";"07:46:08";"Paid_search";"Sale";13;919;"Mobile";"";0;0.0;0;0
100063;54;"2023-02-04";"19:23:55";"Organic_search";"Home";4;1430;"Desktop";"Safari";0;0.0;0;1
100064;0;"2024-04-25";"06:59:59";"Social";"Electronics";1;1235;"Desktop";"Chrome";0;0.0;0;0
100065;0;"2024-07-28";"06:06:44";"Email";"Electronics";9;1272;"Desktop";"Safari";0;0.0;1018;0
100066;2488;"2024-07-28";"14:56:23";"Paid_search";"Electronics";11;325;"";"Safari";0;0.0;0;0
100067;3643;"2024-09-13";"14:01:16";"Organic_search";"Products";14;499;"Desktop";"";0;0.0;0;1
100068;0;"2024-07-02";"10:54:51";"Referral";"";13;903;"Mobile";"";0;0.0;0;0
100069;0;"2023-01-19";"17:36:25";"Email";"Products";13;1273;"Desktop";"";0;0.0;1013;0
100070;0;"2024-02-23";"13:03:25";"Paid_search";"Sale";8;1745;"Desktop";"";0;0.0;0;0
100071;1562;"2024-01-20";"";"Social";"Home";10;768;"Desktop";"Edge";0;0.0;0;1
100072;0;"2024-11-28";"05:28:19";"Paid_search";"Products";2;1612;"Tablet";"Edge";0;0.0;0;0
100073;0;"2023-05-23";"07:27:36";"Email";"";15;509;"Mobile";"Chrome";0;0.0;1003;1
100074;4000;"2024-02-08";"23:44:06";"Referral";"Products";15;267;"Tablet";"Chrome";0;0.0;0;0
100075;2559;"2023-01-20";"01:50:11";"Paid_search";"";10;489;"";"Edge";0;0.0;0;0
100076;0;"2023-03-02";"07:12:00";"Paid_search";"Products";11;0;"Desktop";"Safari";0;0.0;0;0
100077;3293;"2024-08-09";"22:46:32";"Organic_search";"";1;1093;"";"Firefox";0;0.0;0;0
100078;1260;"2023-05-30";"17:35:37";"Paid_search";"Home";10;1645;"Desktop";"Safari";0;0.0;0;0
100079;0;"2024-06-28";"16:39:19";"Organic_search";"";1;293;"Tablet";"Edge";0;0.0;0;1
100080;0;"2024-07-24";"17:59:47";"Email";"Products";9;378;"";"Chrome";1;105.47;0;0
100081;1582;"2024-01-01";"11:11:48";"Email";"Products";7;744;"Tablet";"Chrome";0;0.0;0;0
100082;0;"2024-12-28";"09:32:22";"Direct";"";6;1504;"Desktop";"Chrome";0;0.0;0;0
100083;0;"2023-11-10";"19:14:57";"Organic_search";"";15;1377;"Mobile";"Firefox";0;0.0;0;0
100084;1255;"2024-04-23";"21:15:53";"Email";"Sale";10;1768;"";"Safari";0;0.0;0;0
100085;3357;"2024-04-22";"";"Paid_search";"Sale";13;531;"Desktop";"Safari";0;0.0;0;0
100086;0;"2024-01-24";"04:32:13";"Social";"Products";14;570;"Desktop";"Chrome";0;0.0;0;0
100087;2112;"2024-06-21";"14:58:08";"Email";"Home";13;1273;"Desktop";"Safari";0;0.0;0;0
100088;0;"2023-04-01";"07:40:55";"Paid_search";"Products";9;170;"Mobile";"Safari";0;0.0;0;1
100089;0;"2023-06-28";"01:47:33";"Email";"Home";14;1002;"Desktop";"Chrome";1;461.04;1039;0
100090;0;"2023-06-15";"10:22:50";"Email";"Electronics";13;758;"Desktop";"Chrome";0;0.0;1039;1
100091;0;"2023-04-06";"15:12:07";"Email";"Sale";3;1665;"Mobile";"Chrome";0;0.0;1025;0
100092;0;"2023-05-26";"12:45:46";"Direct";"Home";11;1648;"Desktop";"Edge";0;0.0;0;0
100093;1604;"2024-12-24";"01:28:08";"Email";"Products";15;355;"";"Firefox";0;0.0;0;0
100094;2357;"2023-10-15";"23:18:58";"Email";"Products";3;1263;"Tablet";"Firefox";0;0.0;0;0
100095;0;"2023-04-24";"12:35:16";"Organic_search";"Sale";13;683;"Desktop";"Edge";0;0.0;0;0
100096;0;"2023-11-09";"04:02:37";"Direct";"Home";13;552;"";"";0;0.0;0;1
100097;3983;"2023-02-28";"00:27:58";"Organic_search";"Home";3;1304;"Desktop";"Safari";0;0.0;0;1
100098;0;"2024-01-27";"";"Organic_search";"Home";9;451;"Mobile";"Chrome";0;0.0;0;1
100099;2129;"2024-03-09";"02:10:07";"Email";"Products";6;121;"";"";0;0.0;0;1
100100;0;"2024-12-18";"19:54:06";"Organic_search";"Home";5;0;"Desktop";"Firefox";0;0.0;0;0
100101;2846;"2024-11-08";"";"Paid_search";"";13;352;"Desktop";"Chrome";1;379.86;0;0
100102;0;"2024-06-13";"07:50:40";"Paid_search";"Home";7;1118;"Mobile";"Safari";0;0.0;0;1
100103;2313;"2023-04-26";"05:58:23";"Organic_search";"Home";8;1385;"Tablet";"";0;0.0;0;0
100104;0;"2023-08-20";"06:33:48";"Organic_search";"Home";0;38;"Mobile";"";0;0.0;0;0
100105;0;"2023-02-11";"06:35:49";"Email";"Sale";4;983;"Desktop";"Firefox";0;0.0;1026;1
100106;0;"2023-06-14";"";"Organic_search";"";12;75;"Mobile";"Chrome";0;0.0;0;0
100107;0;"2023-07-14";"14:29:47";"Email";"Home";0;517;"Desktop";"Safari";0;0.0;1009;0
100108;4919;"2024-07-06";"22:02:38";"Social";"Home";10;1460;"Desktop";"";0;0.0;0;1
100109;0;"2024-01-27";"14:27:33";"Referral";"";5;1004;"";"Chrome";0;0.0;0;1
100110;0;"2023-06-07";"13:07:01";"Referral";"Electronics";4;1444;"";"";0;0.0;0;0
100111;0;"2024-12-12";"00:31:04";"Direct";"";6;0;"Desktop";"Safari";0;0.0;0;1
100112;0;"2023-02-18";"10:50:19";"Paid_search";"Home";5;456;"Mobile";"Safari";0;0.0;0;0
100113;0;"2023-12-28";"17:38:17";"Social";"Home";1;236;"";"Chrome";0;0.0;0;0
100114;0;"2023-11-04";"12:07:12";"Organic_search";"";3;544;"Desktop";"";0;0.0;0;0
100115;2784;"2023-03-28";"11:55:31";"Paid_search";"Products";4;409;"Mobile";"";0;0.0;0;0
100116;669;"2023-04-24";"15:58:36";"Paid_search";"Electronics";9;1131;"";"Chrome";0;0.0;0;0
100117;0;"2024-10-05";"18:45:56";"Paid_search";"Sale";6;1445;"Mobile";"Chrome";0;0.0;0;1
100118;0;"2024-11-25";"13:18:18";"Social";"Home";14;472;"Desktop";"Chrome";0;0.0;0;0
100119;0;"2023-04-19";"12:51:39";"Organic_search";"Sale";6;342;"";"Firefox";0;0.0;0;1
100120;4421;"2023-01-28";"09:23:09";"Organic_search";"";10;567;"Mobile";"Firefox";0;0.0;0;0
