transaction_id,customer_id,transaction_date,revenue,quantity,product_category,discount_applied,payment_method,order_status,source_channel,campaign_id
10000,1852,2024-03-12,338.78,9.0,Clothing,,Credit Card,Pending,email,
10001,2238,06-25-2024,469.6,8.0,Home & Garden,0.18,Credit Card,Completed,,1002.0
10002,4854,2024/01/15,68.67,3.0,Home & Garden,0.22,Debit,COMPLETED,Email,
10003,2993,01-12-2024,283.0,5.0,Home & Garden,,PAYPAL,Refunded,direct,
10004,4890,2023/05/27,380.88,6.0,Electronics,0.07,PAYPAL,Pending,EMAIL,
10005,2212,12/04/2023,257.09,4.0,CLOTHING,0.17,credit card,Refunded,organic,
10006,1212,2023/12/10,106.35,1.0,,0.01,credit card,Cancelled,direct,1037.0
10007,2864,02/01/2023,234.8,7.0,electronics,0.16,PayPal,Pending,social,
10008,500,08-09-2024,488.81,1.0,Home & Garden,,,Cancelled,Email,
10009,1723,04/02/2023,248.68,3.0,Electronics,0.05,PAYPAL,Completed,Email,1041.0
10010,1216,2024-03-01,54.59,9.0,,0.13,Credit Card,Cancelled,EMAIL,1035.0
10011,729,03/19/2023,419.29,9.0,,0.15,PAYPAL,Completed,social,
10012,2387,2023/03/10,100.7,1.0,electronics,0.29,credit card,Cancelled,social,1018.0
10013,2928,2024/04/28,188.1,3.0,Home & Garden,0.16,PAYPAL,COMPLETED,Email,1008.0
10014,3573,09-24-2023,162.75,6.0,,0.03,,completed,EMAIL,
10015,1210,13-01-2023,317.99,5.0,Home & Garden,0.08,credit card,Pending,Email,
10016,25,2023-04-03,470.15,10.0,electronics,,Credit Card,COMPLETED,,1008.0
10017,3222,01/13/2024,338.44,4.0,Electronics,,Credit Card,Refunded,direct,1003.0
10018,18,01/31/2024,270.09,6.0,electronics,0.11,Credit Card,Completed,organic,1035.0
10019,50,11-17-2023,421.26,6.0,CLOTHING,,Credit Card,Pending,EMAIL,1018.0
10020,1177,2024/05/19,264.51,3.0,,,Debit,completed,direct,
10021,936,11/02/2023,0,10.0,Clothing,0.25,credit card,Cancelled,,1043.0
10022,2679,11-07-2024,41.6,8.0,,,PAYPAL,completed,email,
10023,4722,14-08-2023,208.28,10.0,CLOTHING,0.12,,completed,EMAIL,
10024,557,16-01-2023,104.71,6.0,CLOTHING,0.08,,Refunded,EMAIL,1031.0
10025,2562,2023-05-11,77.79,9.0,Clothing,0.03,PAYPAL,Cancelled,EMAIL,
10026,804,08/01/2024,383.77,10.0,,,PAYPAL,Refunded,paid_search,
10027,4459,19-02-2023,306.55,10.0,CLOTHING,,,Pending,,
10028,3475,2024/06/14,352.13,8.0,,0.2,credit card,Pending,organic,
10029,3281,2023/08/21,0,9.0,CLOTHING,0.14,,Pending,paid_search,1038.0
10030,4556,02/09/2024,428.95,10.0,Electronics,0.29,Debit,Refunded,organic,
10031,1576,11/06/2023,35.59,10.0,Clothing,,Credit Card,completed,email,1018.0
10032,1550,04-24-2023,358.88,4.0,,0.25,,Completed,EMAIL,
10033,238,21-05-2023,358.16,5.0,,,,COMPLETED,direct,
10034,4288,11-08-2024,,1.0,electronics,0.29,Debit,Pending,social,
10035,3864,12-06-2024,433.55,7.0,electronics,,,Refunded,paid_search,
10036,944,29-11-2023,285.91,,electronics,,PAYPAL,Refunded,EMAIL,
10037,4510,2023/08/25,264.01,4.0,Clothing,0.27,PAYPAL,Pending,direct,
10038,3463,10-26-2023,197.99,6.0,Clothing,0.23,PayPal,COMPLETED,Email,
10039,2714,2023-05-02,328.4,8.0,Home & Garden,0.1,PAYPAL,COMPLETED,,
10040,2453,2024-07-10,301.84,2.0,electronics,,Debit,COMPLETED,paid_search,1017.0
10041,201,10/02/2024,280.7,7.0,,,Debit,Cancelled,organic,1000.0
10042,4202,2023-10-15,199.24,8.0,electronics,0.21,PAYPAL,Refunded,direct,
10043,4237,03-08-2024,148.79,1.0,CLOTHING,0.11,,COMPLETED,direct,1030.0
10044,3056,25-04-2023,480.91,5.0,CLOTHING,0.05,,Refunded,,
10045,920,2023-04-18,427.27,7.0,Clothing,0.27,Credit Card,completed,organic,
10046,4667,07-22-2023,321.14,3.0,Home & Garden,0.3,PAYPAL,COMPLETED,,
10047,1385,10/04/2024,113.78,8.0,Electronics,,Credit Card,completed,Email,
10048,3090,2024-12-17,216.25,1.0,CLOTHING,0.24,Credit Card,Refunded,organic,
10049,4615,07-18-2024,41.34,1.0,Home & Garden,0.26,PAYPAL,completed,email,1036.0
10050,2163,10-07-2024,193.42,1.0,,0.12,credit card,completed,,
10051,2790,2023-01-07,260.54,10.0,Clothing,,Credit Card,Refunded,email,
10052,1876,05-07-2023,313.04,8.0,,,Debit,Pending,Email,1025.0
10053,1454,2024/06/29,328.83,2.0,Electronics,,PAYPAL,Cancelled,Email,
10054,818,02-01-2023,471.25,10.0,,0.1,credit card,Refunded,Email,1039.0
10055,3526,2023-09-01,-50,8.0,Home & Garden,0.05,Debit,completed,EMAIL,1000.0
10056,2194,06-03-2024,101.98,1.0,Home & Garden,,PayPal,Refunded,Email,1031.0
10057,2125,11/01/2023,170.62,3.0,,0.24,Credit Card,COMPLETED,direct,1000.0
10058,3654,17-12-2024,151.3,5.0,Home & Garden,0.18,PayPal,Refunded,,
10059,2450,11/22/2023,196.39,8.0,Electronics,0.16,,Cancelled,social,
10060,3948,2024-08-16,460.33,7.0,Electronics,0.09,PayPal,Completed,organic,
10061,241,06/23/2023,414.29,5.0,Clothing,,PayPal,Pending,social,1029.0
10062,790,2023/03/29,116.73,9.0,electronics,0.19,credit card,Completed,EMAIL,1017.0
10063,3672,2023-03-17,444.02,5.0,Clothing,0.11,,Cancelled,social,
10064,4918,10/29/2024,267.65,0.0,Clothing,0.28,Debit,Refunded,social,
10065,2303,2023/05/21,428.43,6.0,Electronics,0.19,credit card,Pending,Email,1044.0
10066,3710,02/11/2023,433.14,5.0,Home & Garden,0.15,,COMPLETED,social,
10067,2640,2024-08-05,223.73,6.0,CLOTHING,0.03,PAYPAL,Refunded,direct,
10068,35,06-10-2023,497.46,8.0,electronics,0.14,,Completed,direct,1046.0
10069,1469,2024-01-14,120.74,3.0,,0.08,credit card,Cancelled,organic,
10070,4897,2024/10/06,165.7,5.0,,0.18,credit card,COMPLETED,email,
10071,4629,2024/04/30,441.56,1.0,CLOTHING,0.01,Credit Card,Completed,social,1002.0
10072,3372,09-05-2024,174.11,9.0,CLOTHING,0.05,PayPal,Pending,organic,
10073,2258,2023/04/30,171.36,9.0,Home & Garden,0.03,PayPal,Completed,email,1023.0
10074,240,2023-08-08,165.39,9.0,Electronics,0.2,PAYPAL,COMPLETED,organic,
10075,1432,04/09/2024,70.52,6.0,Clothing,0.06,PayPal,completed,paid_search,1009.0
10076,1542,19-03-2024,0,1.0,,0.1,,Completed,paid_search,
10077,2619,2023/11/09,474.79,1.0,Electronics,,,Completed,paid_search,
10078,2105,03/14/2023,74.27,9.0,,0.26,Debit,Pending,,
10079,957,2024/07/06,397.39,6.0,electronics,0.15,credit card,Refunded,direct,1007.0
10080,3253,09-14-2023,258.43,10.0,Home & Garden,0.19,credit card,Pending,paid_search,1008.0
10081,945,16-08-2024,108.52,10.0,electronics,,Credit Card,Pending,Email,
10082,1143,05/05/2024,299.32,9.0,,0.28,PayPal,Pending,EMAIL,
10083,140,2024/07/09,252.45,8.0,CLOTHING,0.06,Debit,Completed,organic,
10084,196,03-24-2023,78.82,6.0,,0.1,credit card,COMPLETED,direct,
10085,180,2024-02-22,190.43,5.0,CLOTHING,0.07,,Pending,direct,1001.0
10086,3268,14-06-2024,289.9,10.0,Electronics,0.05,,Completed,direct,
10087,2979,18-04-2024,142.57,3.0,electronics,0.16,,completed,email,
10088,3619,10-19-2023,437.24,7.0,Home & Garden,0.06,Debit,Completed,organic,1034.0
10089,64,08-07-2024,456.78,7.0,Clothing,,PayPal,Completed,social,
10090,4179,01/12/2024,0,5.0,Clothing,0.0,PAYPAL,Refunded,direct,
10091,2763,2023/10/25,298.27,5.0,CLOTHING,0.22,,Completed,direct,
10092,2350,25-05-2023,459.71,5.0,Home & Garden,,credit card,COMPLETED,Email,1012.0
10093,152,2023/03/04,66.75,9.0,Electronics,0.12,Debit,COMPLETED,,1011.0
10094,3182,08-25-2023,173.79,8.0,electronics,0.19,Credit Card,Cancelled,email,1044.0
10095,2300,12/09/2023,352.16,9.0,Home & Garden,0.16,credit card,Cancelled,organic,
10096,2706,16-05-2023,488.04,8.0,Clothing,,credit card,Cancelled,direct,
10097,2630,07-03-2024,65.76,2.0,,0.17,PAYPAL,Refunded,paid_search,1038.0
10098,1458,04-29-2024,245.95,1.0,,0.15,credit card,Pending,organic,
10099,2778,10-28-2024,N/A,6.0,CLOTHING,0.04,credit card,Completed,organic,
10100,822,2024/07/02,239.16,3.0,Clothing,0.19,PayPal,Completed,Email,1042.0
10101,3291,07/18/2023,168.39,10.0,electronics,0.16,PAYPAL,Refunded,Email,
10102,659,2024-03-07,374.56,3.0,,0.28,Credit Card,completed,,
10103,2961,01-28-2023,82.76,10.0,Clothing,0.29,Debit,Refunded,direct,
10104,2269,09-03-2023,350.52,8.0,,0.17,,completed,,
10105,4828,29-12-2024,176.3,10.0,Electronics,0.09,,Completed,organic,1028.0
10106,2271,05/20/2024,68.55,3.0,Clothing,0.09,PayPal,Cancelled,,1017.0
10107,3222,2024-01-01,79.38,5.0,electronics,0.08,PayPal,Completed,direct,
10108,3836,2023/09/14,N/A,5.0,CLOTHING,,PayPal,Pending,,
10109,1427,2023/04/16,372.7,3.0,,0.16,Debit,Completed,Email,
10110,4532,27-02-2024,167.18,1.0,,0.09,PayPal,COMPLETED,paid_search,
10111,482,09-05-2023,269.73,1.0,Electronics,0.16,,Pending,paid_search,
10112,2546,2023/09/22,99.88,10.0,CLOTHING,0.1,Credit Card,Cancelled,Email,
10113,3561,04-19-2024,307.33,9.0,electronics,,Credit Card,Pending,,
10114,3897,03-10-2024,117.21,2.0,Home & Garden,0.27,,Completed,organic,
10115,2317,12/08/2024,395.06,3.0,Electronics,,,Completed,email,1034.0
10116,4593,08/27/2024,82.4,1.0,Clothing,,Credit Card,Cancelled,social,1035.0
10117,2829,08/29/2024,55.33,3.0,Electronics,0.14,credit card,Refunded,paid_search,
10118,233,06/26/2024,235.62,6.0,Clothing,0.23,Debit,Cancelled,email,
10119,4872,11-18-2023,171.09,1.0,Home & Garden,0.09,Credit Card,Completed,social,1042.0
10120,1407,2023-09-09,201.78,1.0,Clothing,,Credit Card,Pending,email,
10121,2996,2024-04-28,499.01,10.0,Home & Garden,0.09,Credit Card,Cancelled,direct,
10122,4569,10/15/2024,160.81,3.0,Home & Garden,,,COMPLETED,,
10123,3237,04/06/2024,324.8,7.0,Clothing,,PayPal,COMPLETED,email,1023.0
10124,4364,2024/05/23,334.93,7.0,Clothing,,credit card,Completed,direct,
10125,724,12-09-2024,286.34,2.0,electronics,,Debit,COMPLETED,EMAIL,
10126,3133,2024/08/12,217.12,5.0,Home & Garden,0.24,PAYPAL,completed,social,
10127,3174,11-04-2023,449.0,2.0,Electronics,,Debit,Cancelled,paid_search,
10128,1445,06/13/2023,274.4,5.0,electronics,,,Pending,,
10129,102,2023-10-01,351.01,6.0,Home & Garden,0.07,,Refunded,EMAIL,1031.0
10130,2989,03-09-2023,428.36,1.0,electronics,0.06,PAYPAL,Completed,organic,1014.0
10131,2077,2023-05-08,383.83,4.0,Clothing,,PAYPAL,Completed,paid_search,
10132,1287,2024/01/12,378.11,3.0,Electronics,0.19,Credit Card,Refunded,EMAIL,
10133,1784,06-24-2023,366.28,1.0,Clothing,0.02,,Pending,email,
10134,3539,03-19-2023,324.81,5.0,Electronics,0.05,Debit,Cancelled,EMAIL,
10135,2755,2024-08-03,217.89,8.0,,0.28,Credit Card,Completed,email,1019.0
10136,3661,10/13/2024,434.52,6.0,,0.24,Debit,COMPLETED,paid_search,
10137,2024,2023-08-29,199.76,7.0,electronics,0.18,PayPal,Refunded,EMAIL,1022.0
10138,3764,04-09-2024,199.41,8.0,CLOTHING,0.06,PayPal,Refunded,,
10139,1861,08-10-2024,462.5,8.0,,0.3,,Cancelled,EMAIL,
10140,2823,06/07/2023,224.11,5.0,CLOTHING,0.09,PAYPAL,COMPLETED,paid_search,1039.0
10141,2854,12/28/2023,184.24,10.0,CLOTHING,,,completed,EMAIL,1013.0
10142,36,04-23-2024,240.73,1.0,CLOTHING,,Credit Card,Completed,EMAIL,
10143,2271,03-21-2023,230.62,4.0,CLOTHING,0.04,Debit,Refunded,,
10144,910,2024/04/14,151.03,6.0,Electronics,,credit card,completed,direct,
10145,1286,11-10-2023,375.21,5.0,Clothing,0.15,credit card,Completed,Email,1002.0
10146,2619,2023-05-26,338.37,4.0,,0.11,,Refunded,social,
10147,2733,06/24/2023,456.47,6.0,Electronics,0.01,Debit,Cancelled,,
10148,4999,08-04-2024,204.63,2.0,Home & Garden,0.1,Debit,Pending,EMAIL,
10149,1579,10/15/2023,55.88,5.0,CLOTHING,,PayPal,completed,social,1022.0
