session_id,customer_id,session_date,session_start_time,traffic_source,landing_page,pages_viewed,session_duration_seconds,device,browser,converted,conversion_value,campaign_id,is_bounce,is_bot
100000,,27-02-2024,19:30:14,organic_search,/products,9.0,1758.0,MOBILE,chrome,0,0.0,,0,0.0
100001,611.0,2024-05-12,15:34:35,paid_search,,3.0,1460.0,,Safari,0,0.0,,0,0.0
100002,2116.0,2023/03/11,15:32:48,direct,,11.0,1643.0,MOBILE,Firefox,0,0.0,,1,0.0
100003,,2024/08/22,07:59:16,organic_search,,3.0,1464.0,tablet,Firefox,0,0.0,,0,0.0
100004,1891.0,07-12-2023,14:19:25,DIRECT,,5.0,1719.0,mobile,chrome,0,0.0,,1,1.0
100005,4937.0,2024/07/29,07:59:51,email,/sale,5.0,621.0,MOBILE,Safari,0,0.0,1023.0,0,
100006,588.0,11/13/2024,23:12:51,social,/category/electronics,5.0,1427.0,MOBILE,chrome,0,0.0,,0,
100007,,2023/03/16,19:27:59,DIRECT,/category/electronics,4.0,1064.0,Desktop,Safari,0,0.0,,0,0.0
100008,1403.0,02-25-2024,18:20:45,email,,8.0,920.0,mobile,Firefox,0,0.0,1033.0,1,1.0
100009,,2024-12-28,20:12:53,organic_search,,5.0,77.0,MOBILE,chrome,0,0.0,,1,0.0
100010,,2024/05/22,08:55:47,email,/products,14.0,1376.0,tablet,Firefox,0,0.0,1041.0,0,1.0
100011,,2024/04/22,09:10:50,social,/sale,11.0,1266.0,MOBILE,Safari,0,0.0,,1,1.0
100012,401.0,30-08-2023,13:00:36,paid_search,/home,12.0,193.0,,Firefox,0,0.0,,0,
100013,4879.0,2023-12-05,03:22:15,paid_search,/sale,9.0,307.0,desktop,Chrome,0,0.0,,0,0.0
100014,3397.0,07-08-2023,04:39:36,email,,13.0,,Desktop,,0,0.0,,0,0.0
100015,3396.0,05-21-2024,08:58:53,organic_search,/products,6.0,1208.0,Desktop,,0,0.0,,0,1.0
100016,1440.0,10-10-2023,,EMAIL,/home,10.0,1032.0,mobile,chrome,0,0.0,1003.0,0,0.0
100017,4406.0,09-30-2024,18:14:20,organic_search,/home,6.0,649.0,MOBILE,Edge,0,0.0,,1,0.0
100018,44.0,2024/03/06,12:11:38,paid_search,/sale,5.0,1767.0,mobile,Safari,0,0.0,,1,0.0
100019,,2024-03-09,16:03:59,direct,/home,9.0,970.0,desktop,,0,0.0,,0,0.0
100020,1158.0,04-12-2024,11:54:09,social,/products,14.0,193.0,mobile,,0,0.0,,0,0.0
100021,,01-01-2023,05:17:00,organic_search,,8.0,1496.0,,,0,0.0,,1,0.0
100022,,2023-11-26,10:21:26,referral,/home,13.0,571.0,mobile,Firefox,0,0.0,,1,0.0
100023,490.0,29-01-2023,19:11:51,social,/sale,13.0,1510.0,mobile,Chrome,0,0.0,,1,0.0
100024,,15-04-2023,18:52:16,referral,,14.0,237.0,tablet,Firefox,0,0.0,,0,0.0
100025,1184.0,2024-06-10,23:31:54,paid_search,/sale,3.0,568.0,MOBILE,,0,0.0,,0,0.0
100026,,09-07-2024,00:52:59,organic_search,/home,9.0,1771.0,desktop,Firefox,0,0.0,,0,0.0
